X,Y,OBJECTID,STNCODE,STNNAME,CITY2,STATE,STFIPS,station,station_name,Total Riders
-80.17,26.119256,170,FTL,"Fort Lauderdale, Florida",Fort Lauderdale,FL,12,"Fort Lauderdale, Florida",Fort Lauderdale,"40,249"
-79.757056,34.199157,157,FLO,"Florence, South Carolina",Florence,SC,45,"Florence, South Carolina",Florence,"40,187"
-85.672447,42.955788,182,GRR,"Grand Rapids, Michigan",Grand Rapids,MI,26,"Grand Rapids, Michigan",Grand Rapids,"39,974"
-86.806614,33.512801,169,BHM,"Birmingham, Alabama",Birmingham,AL,1,"Birmingham, Alabama",Birmingham,"39,891"
-122.197858,47.975401,172,EVR,"Everett, Washington",Everett,WA,53,"Everett, Washington",Everett,"38,794"
-121.286286,38.750016,180,RSV,"Roseville, California",Roseville,CA,6,"Roseville, California",Roseville,"38,775"
-92.169906,38.57887,178,JEF,"Jefferson City, Missouri",Jefferson City,MO,29,"Jefferson City, Missouri",Jefferson City,"38,748"
-78.873748,42.878449,184,BFX,"Buffalo (Exchange St), New York",Buffalo- Exchange St.,NY,36,"Buffalo (Exchange St), New York",Buffalo / Exchange St.,"38,089"
-76.16326,39.508447,186,ABE,"Aberdeen, Maryland",Aberdeen,MD,24,"Aberdeen, Maryland",Aberdeen,"37,867"
-89.466815,41.385191,190,PCT,"Princeton, Illinois",Princeton,IL,17,"Princeton, Illinois",Princeton,"37,708"
-73.810027,43.08281,189,SAR,"Saratoga Springs, New York",Saratoga Springs,NY,36,"Saratoga Springs, New York",Saratoga Springs,"37,303"
-74.623976,40.31585,168,PJC,"Princeton Junction, New Jersey",Princeton Junction,NJ,34,"Princeton Junction, New Jersey",Princeton Junction,"37,050"
-91.368525,39.957063,173,QCY,"Quincy, Illinois",Quincy,IL,17,"Quincy, Illinois",Quincy,"36,851"
-86.096553,42.791096,191,HOM,"Holland, Michigan",Holland,MI,26,"Holland, Michigan",Holland,"36,288"
-121.771952,42.225509,193,KFS,"Klamath Falls, Oregon",Klamath Falls,OR,41,"Klamath Falls, Oregon",Klamath Falls,"36,065"
-87.668685,41.562446,188,HMW,"Homewood, Illinois",Homewood,IL,17,"Homewood, Illinois",Homewood,"35,878"
-119.332309,35.594092,176,WAC,"Wasco, California",Wasco,CA,6,"Wasco, California",Wasco,"35,844"
-121.816024,38.0177,179,ACA,"Antioch-Pittsburg, California",Antioch-Pittsburg,CA,6,"Antioch-Pittsburg, California",Antioch/Pittsburg,"35,343"
-81.404234,28.293835,185,KIS,"Kissimmee, Florida",Kissimmee,FL,12,"Kissimmee, Florida",Kissimmee,"34,774"
-94.728322,32.494032,210,LVW,"Longview, Texas",Longview,TX,48,"Longview, Texas",Longview,"34,392"
-88.376045,39.48273,187,MAT,"Mattoon, Illinois",Mattoon,IL,17,"Mattoon, Illinois",Mattoon,"33,908"
-97.75694,30.269449,199,AUS,"Austin, Texas",Austin,TX,48,"Austin, Texas",Austin,"33,624"
-122.240254,47.461081,204,TUK,"Tukwila, Washington",Tukwila,WA,53,"Tukwila, Washington",Tukwila,"32,995"
-79.031865,43.113548,209,NFL,"Niagara Falls, New York, United States",Niagara Falls,NY,36,"Niagara Falls, New York, United States",Niagara Falls,"32,699"
-108.569929,39.064375,196,GJT,"Grand Junction, Colorado",Grand Junction,CO,8,"Grand Junction, Colorado",Grand Junction,"32,146"
-77.428794,37.241627,203,PTB,"Petersburg, Virginia",Petersburg,VA,51,"Petersburg, Virginia",Petersburg,"31,497"
-80.006097,35.957128,194,HPT,"High Point, North Carolina",High Point,NC,37,"High Point, North Carolina",High Point,"31,048"
-122.913016,46.142264,197,KEL,"Kelso-Longview, Washington",Kelso-Longview,WA,53,"Kelso-Longview, Washington",Kelso-Longview,"31,011"
-123.102774,44.630464,192,ALY,"Albany, Oregon",Albany,OR,41,"Albany, Oregon",Albany,"30,780"
-81.04049,33.994297,195,CLB,"Columbia, South Carolina",Columbia,SC,45,"Columbia, South Carolina",Columbia,"29,805"
-101.298557,48.236083,206,MOT,"Minot, North Dakota",Minot,ND,38,"Minot, North Dakota",Minot,"29,531"
-103.620926,48.143,213,WTN,"Williston, North Dakota",Williston,ND,38,"Williston, North Dakota",Williston,"29,013"
-82.639603,38.480875,482,AKY,"Ashland, Kentucky",Ashland,KY,21,"Ashland, Kentucky",Ashland,"28,939"
-86.160423,39.761984,200,IND,"Indianapolis, Indiana",Indianapolis,IN,18,"Indianapolis, Indiana",Indianapolis,"28,804"
-122.384141,47.811081,201,EDM,"Edmonds, Washington",Edmonds,WA,53,"Edmonds, Washington",Edmonds,"28,796"
-120.07498,37.022471,214,MDR,"Madera, California",Madera,CA,6,"Madera, California",Madera,"28,384"
-73.902263,40.935586,224,YNY,"Yonkers, New York",Yonkers,NY,36,"Yonkers, New York",Yonkers,"28,344"
-89.136118,38.527531,243,CEN,"Centralia, Illinois",Centralia,IL,17,"Centralia, Illinois",Centralia,"28,218"
-71.963093,41.350934,223,MYS,"Mystic, Connecticut",Mystic,CT,9,"Mystic, Connecticut",Mystic,"28,017"
-110.96677,32.222977,215,TUS,"Tucson, Arizona",Tucson,AZ,4,"Tucson, Arizona",Tucson,"27,840"
-83.651728,43.015425,207,FLN,"Flint, Michigan",Flint,MI,26,"Flint, Michigan",Flint,"27,777"
-83.14701,42.488439,218,ROY,"Royal Oak, Michigan",Royal Oak,MI,26,"Royal Oak, Michigan",Royal Oak,"27,318"
-95.92865,41.249828,205,OMA,"Omaha, Nebraska",Omaha,NE,31,"Omaha, Nebraska",Omaha,"26,895"
-94.377972,38.912623,217,LEE,"Lees Summit, Missouri",Lees Summit,MO,29,"Lees Summit, Missouri",Lees Summit,"26,565"
-91.432558,38.707283,226,HEM,"Hermann, Missouri",Hermann,MO,29,"Hermann, Missouri",Hermann,"25,890"
-86.745782,41.796656,245,NBU,"New Buffalo, MI",New Buffalo,MI,26,"New Buffalo, MI",New Buffalo,"25,849"
-81.352009,28.597106,211,WPK,"Winter Park, Florida",Winter Park,FL,12,"Winter Park, Florida",Winter Park,"25,844"
-91.247298,43.833155,219,LSE,"LaCrosse, Wisconsin",La Crosse,WI,55,"LaCrosse, Wisconsin",LaCrosse,"25,622"
-119.55705,36.098516,202,COC,"Corcoran, California",Corcoran,CA,6,"Corcoran, California",Corcoran,"24,658"
